alpha,g0_over_omega_rabi0,g0,v_low,oscillator_ratio,max_high_population,final_high_population,F_X,t_gate,passes_leakage,passes_fidelity,passes_both
3.0,0.04,0.0032,0.1,3.6,0.9964490512644779,0.47555987862895654,0.3448883607273049,12.418235332245127,0,0,0
3.0,0.04,0.0032,0.1,4.5,0.9971113511600591,0.6264578750269643,0.2635143413790468,12.418235332245127,0,0,0
3.0,0.04,0.0032,0.1,5.5,0.9978796704402528,0.6983077007633471,0.21777306634498841,12.418235332245127,0,0,0
3.0,0.04,0.0032,0.1,7.0,0.9984785008030485,0.6578354982430089,0.16505661000403446,12.418235332245127,0,0,0
3.0,0.04,0.0032,0.14,2.4,0.9984952875987283,0.47043144407924026,0.4656072369444211,14.693454198173747,0,0,0
3.0,0.04,0.0032,0.14,3.0,0.9956680550899357,0.5479116876986679,0.3805081993916311,14.693454198173747,0,0,0
3.0,0.04,0.0032,0.14,3.6,0.9923778701164949,0.5743284725683218,0.35069538931965144,14.693454198173747,0,0,0
3.0,0.04,0.0032,0.14,4.5,0.9949640810169134,0.5435432994695466,0.35847096977298715,14.693454198173747,0,0,0
3.0,0.04,0.0032,0.14,5.5,0.9971335971688327,0.5135985723957773,0.279813757842906,14.693454198173747,0,0,0
3.0,0.04,0.0032,0.14,7.0,0.9829672362883736,0.7883256150162785,0.040562373290423885,14.693454198173747,0,0,0
3.0,0.04,0.0032,0.18,2.4,0.979682110948876,0.7689413978337509,0.1719009293270311,16.660811018093874,0,0,0
3.0,0.04,0.0032,0.18,3.0,0.9248499841532614,0.8401430013897501,0.013005716171657092,16.660811018093874,0,0,0
3.0,0.04,0.0032,0.18,3.6,0.7842574788692055,0.4333662846464192,0.16026811711800054,16.660811018093874,0,0,0
3.0,0.04,0.0032,0.18,4.5,0.5473655888466211,0.062384985368347357,0.6904819885811267,16.660811018093874,0,0,0
3.0,0.04,0.0032,0.18,5.5,0.34755698988709194,0.2824408432368384,0.35060190272333774,16.660811018093874,0,0,0
3.0,0.04,0.0032,0.18,7.0,0.1763987141965332,0.11685845243659737,0.55728863336285,16.660811018093874,0,0,0
3.0,0.04,0.0032,0.24,2.4,0.13725948999660836,0.03591711019305619,0.7442486559921782,19.23824745242796,0,0,0
3.0,0.04,0.0032,0.24,3.0,0.06514525257246445,0.009990549842529076,0.8620178070777684,19.23824745242796,0,0,0
3.0,0.04,0.0032,0.24,3.6,0.03410983781754112,0.022948721339832192,0.7935573880515143,19.23824745242796,0,0,0
3.0,0.04,0.0032,0.24,4.5,0.01495084697957652,0.007079208570074763,0.8833947015617583,19.23824745242796,0,0,0
3.0,0.04,0.0032,0.24,5.5,0.006972995689348277,2.194077171265088e-06,0.9979072971143328,19.23824745242796,0,0,0
3.0,0.04,0.0032,0.24,7.0,0.0027299587818087104,0.00010407859628713294,0.9856080263331872,19.23824745242796,0,0,0
3.0,0.04,0.0032,0.32,2.4,0.0020033721015914104,0.0007535865905616101,0.961429297372639,22.21441469079183,0,0,0
3.0,0.04,0.0032,0.32,3.0,0.0008319366912880837,0.0006670534999385255,0.9636972130882997,22.21441469079183,1,0,0
3.0,0.04,0.0032,0.32,3.6,0.00040525818294536565,1.0991072786516586e-06,0.9985181915284692,22.21441469079183,1,0,0
