v_low,g0_over_omega_rabi0,g0,oscillator_ratio,drag_lambda,t_gate,max_high_population,final_high_population,F_X,passes_leakage,passes_fidelity,passes_both
0.24,0.02,0.0016,3.0,1.5,19.23824745242796,0.0008274281411227123,1.6184154886860837e-05,0.43299581368481077,1,0,0
0.24,0.02,0.0016,3.0,2.0,19.23824745242796,0.0012002397939582486,7.444357672629338e-05,0.18250840109842645,0,0,0
0.24,0.02,0.0016,3.6,-2.0,19.23824745242796,0.00041835584188941357,3.278238772414813e-07,0.40239155806617577,1,0,0
0.24,0.02,0.0016,3.6,-1.5,19.23824745242796,0.0003519558782716784,5.532852388665177e-07,0.6199151448050232,1,0,0
0.24,0.02,0.0016,3.6,-1.0,19.23824745242796,0.00030310665985790083,5.257093079110462e-07,0.8156575771516007,1,0,0
0.24,0.02,0.0016,3.6,-0.5,19.23824745242796,0.00025899274111966015,2.9750575346044724e-07,0.9511961159364931,1,0,0
0.24,0.02,0.0016,3.6,0.0,19.23824745242796,0.00022051686062981546,8.057711300946249e-08,0.999598429807869,1,1,1
0.24,0.02,0.0016,3.6,0.5,19.23824745242796,0.00020770152141182227,6.502653131885109e-10,0.9511960034387364,1,0,0
0.24,0.02,0.0016,3.6,1.0,19.23824745242796,0.00023923756065175348,2.306204317815045e-08,0.815658301905498,1,0,0
0.24,0.02,0.0016,3.6,1.5,19.23824745242796,0.00027761928492484343,4.350464856373331e-08,0.6199154426074466,1,0,0
0.24,0.02,0.0016,3.6,2.0,19.23824745242796,0.00030856380527553027,1.1482814504673623e-07,0.4023910478226063,1,0,0
0.24,0.02,0.0016,4.5,-2.0,19.23824745242796,9.808325016566659e-05,1.328285655707848e-07,0.6197659293139564,1,0,0
0.24,0.02,0.0016,4.5,-1.5,19.23824745242796,9.283882695512683e-05,8.043554702707197e-08,0.771077561152647,1,0,0
0.24,0.02,0.0016,4.5,-1.0,19.23824745242796,8.726481856886286e-05,4.023196205792555e-08,0.893207271366428,1,0,0
0.24,0.02,0.0016,4.5,-0.5,19.23824745242796,8.18656596516893e-05,1.490091777354265e-08,0.9724670828065346,1,0,0
0.24,0.02,0.0016,4.5,0.0,19.23824745242796,7.789686867912725e-05,3.087265662314264e-09,0.9999214956187225,1,1,1
0.24,0.02,0.0016,4.5,0.5,19.23824745242796,7.777040345149446e-05,7.19315086480042e-11,0.9724671581452766,1,0,0
0.24,0.02,0.0016,4.5,1.0,19.23824745242796,8.26295254244316e-05,4.496152007198398e-10,0.8932073129727975,1,0,0
0.24,0.02,0.0016,4.5,1.5,19.23824745242796,9.016079257361052e-05,1.7134843482776924e-09,0.7710774635956557,1,0,0
0.24,0.02,0.0016,4.5,2.0,19.23824745242796,9.880544906845805e-05,7.528393226614704e-09,0.6197658105377885,1,0,0
0.24,0.02,0.0016,5.5,-2.0,19.23824745242796,4.707654310349138e-05,2.571785666881677e-08,0.7531255227446915,1,0,0
0.24,0.02,0.0016,5.5,-1.5,19.23824745242796,4.5271771878380684e-05,9.786797646443823e-09,0.8552985892255967,1,0,0
0.24,0.02,0.0016,5.5,-1.0,19.23824745242796,4.309892320888353e-05,2.6318394554420565e-09,0.9337795416858428,1,0,0
0.24,0.02,0.0016,5.5,-0.5,19.23824745242796,4.0526933151040845e-05,3.308186050271819e-10,0.9831523918791787,1,0,0
0.24,0.02,0.0016,5.5,0.0,19.23824745242796,3.7809498193932997e-05,2.2070547805442382e-13,0.999999443057034,1,1,1
0.24,0.02,0.0016,5.5,0.5,19.23824745242796,3.505608128803191e-05,5.286554066971292e-12,0.9831524213424353,1,0,0
